data_new1,data_new2,data_new3,data_new4,data_new5,data_new6
1,327.416667,238.25,330.5,100.217125,1
1,199.648148,90.037037,516.537037,18.578126,1
1,182.725,76.15,334.8,17.837303,1
1,208,93.4,526.2,23.446961,1
2,226,146.214286,595.571429,22.808542,2
1,198.545455,86.272727,402.045455,28.514169,1
1,294.90099,193.70297,395.207921,18.028433,1
1,228.909091,102.787879,579.484849,19.233713,1
1,244.44,110.72,522.64,41.062762,1
1,465.580952,306.114286,477.790476,34.741473,1
1,214.75,95.305556,444.902778,23.274591,1
2,189.416667,99.041667,347.333333,24.653396,2
1,226.333333,103.333333,655.666667,20.704267,1
1,238.5,113.5,522.5,11.736029,1
1,192.52,88.2,367.48,13.049077,1
1,244.5,114.1,743.5,31.99203,1
1,246.875,110.875,804.875,20.572366,1
1,214.857143,99.357143,581.5,31.911549,1
1,380.947368,296.421053,443.947368,27.759453,1
1,196.344828,88.551724,373.586207,17.906083,1
1,212.327586,95.741379,623.62069,23.834254,1
1,220.555556,102.111111,616.555556,30.879345,1
1,201.569106,91.756098,495.422764,32.665625,1
1,250.5,122.25,706,13.864861,1
1,227.5,101,633.214286,26.911514,1
1,213.928571,97.214286,653.071429,29.040436,1
1,208.478261,86.826087,470.26087,18.03672,1
1,249.857143,143.25,418.928571,15.188946,1
1,187.333333,78.647059,334.372549,20.418422,1
1,258.727273,133.590909,602.227273,14.797252,1
1,226,105.256757,763.797297,19.838593,1
2,231.833333,153.515152,591.015152,25.385987,2
1,219.26087,108.26087,444.826087,14.848447,1
1,234.199667,107.153078,655.592346,26.572225,1
1,369,258.166667,472.666667,33.272027,1
1,228.2,105.9,659.4,20.596116,1
1,241.782609,112.391304,581.478261,27.140118,1
1,233.64,112.2,590.36,20.751867,1
1,215.411765,102.823529,610.058824,38.795801,1
1,186.941177,77.352941,468.411765,20.468391,1
1,329.071429,230.714286,415.285714,16.554795,1
1,225.102564,102.641026,595.871795,27.694254,1
1,227.02381,102.285714,661.404762,24.124171,1
1,233.777778,104.666667,682.111111,24.07396,1
1,240.685714,123.15873,496.406349,34.601394,1
1,177.419753,77.82716,276.444444,21.620241,1
1,185.642276,82.195122,274.617886,13.882975,1
1,220.666667,110,494.333333,28.388671,1
1,220.26087,101.217391,694.76087,31.273724,1
1,225.557491,128.101045,194.285714,14.360709,1
1,232.017752,109.698225,542.088757,22.350357,1
1,220.842105,93,632.31579,35.273683,1
1,216.783333,102.316667,360.616667,28.184511,1
1,172,68.142857,239.142857,8.705206,1
1,239.571429,109.4,718.771429,20.810005,1
1,280.736842,156.052632,309.210526,22.275908,1
1,202.550595,92.738095,579.217262,34.301396,1
1,261.424779,129.460177,771.035398,27.342366,1
1,193.758621,83.62069,522.534483,28.6482,1
1,251.202454,118.619632,704.576687,6.753997,1
1,230.884615,112.051282,544.525641,23.576975,1
1,237.5,121,757.5,23.395713,1
1,328.547739,206.231156,310.648241,15.863861,1
1,209.44,93.4,637.08,31.039433,1
1,228.678571,104.392857,674.964286,32.399531,1
2,214.081081,113.567568,573.054054,25.018766,2
1,252.478261,114.086957,792.26087,14.37573,1
1,221,107,437,9,1
1,179.625,76.875,328.875,23.327827,1
